Categoria,Instância,Região,SO,Tenancy,vCPU,RAM_GiB,GPU,Preço_USD,Indice_custo_beneficio,Cluster,PCA1,PCA2
Uso Geral,m5.large,US East (N. Virginia),Windows,Shared,2,8.0,0,0.096,104.16666666666667,2,-0.644278054527578,0.1361547527307793
Uso Geral,m5.large,US East (N. Virginia),Windows,Dedicated,2,8.0,0,0.194,51.54639175257732,2,-0.6444814635535473,-0.028151347553421656
Uso Geral,m5.large,US East (N. Virginia),RHEL,Shared,2,8.0,0,0.125,80.0,2,-0.6211738990038351,0.06678656442456615
Uso Geral,m5.large,US East (N. Virginia),RHEL,Dedicated,2,8.0,0,0.134,74.62686567164178,2,-0.6177714057409753,0.010726278170067743
Uso Geral,m5.large,US East (N. Virginia),SUSE,Shared,2,8.0,0,0.152,65.78947368421053,2,-0.6229291126065907,0.08856146406743229
Uso Geral,m5.large,US East (N. Virginia),SUSE,Dedicated,2,8.0,0,0.158,63.291139240506325,2,-0.6191121210236382,0.03898711760617077
Uso Geral,m5.large,US West (Oregon),Linux,Shared,2,8.0,0,0.096,104.16666666666667,2,-0.6253444021649978,0.08715633472798556
Uso Geral,m5.large,US West (Oregon),Linux,Dedicated,2,8.0,0,0.102,98.03921568627452,2,-0.6223565743672113,0.02955161186842012
Uso Geral,m5.large,US West (Oregon),Windows,Shared,2,8.0,0,0.096,104.16666666666667,2,-0.6445471805592212,0.0798339522502135
Uso Geral,m5.large,US West (Oregon),Windows,Dedicated,2,8.0,0,0.194,51.54639175257732,2,-0.6447505895851905,-0.08447214803398742
Uso Geral,m5.large,US West (Oregon),RHEL,Shared,2,8.0,0,0.125,80.0,2,-0.6214430250354783,0.01046576394400038
Uso Geral,m5.large,US West (Oregon),RHEL,Dedicated,2,8.0,0,0.134,74.62686567164178,2,-0.6180405317726185,-0.04559452231049802
Uso Geral,m5.large,US West (Oregon),SUSE,Shared,2,8.0,0,0.152,65.78947368421053,2,-0.6231982386382339,0.03224066358686653
Uso Geral,m5.large,US West (Oregon),SUSE,Dedicated,2,8.0,0,0.158,63.291139240506325,2,-0.6193812470552814,-0.017333682874395004
Uso Geral,m5.large,South America (Sao Paulo),Linux,Shared,2,8.0,0,0.153,65.359477124183,2,-0.6141125761225298,-0.02242954701486155
Uso Geral,m5.large,South America (Sao Paulo),Linux,Dedicated,2,8.0,0,0.162,61.72839506172839,2,-0.6103120668036545,-0.07463508370171687
Uso Geral,m5.large,South America (Sao Paulo),Windows,Shared,2,8.0,0,0.153,65.359477124183,2,-0.6333153545167532,-0.02975192949263359
Uso Geral,m5.large,South America (Sao Paulo),Windows,Dedicated,2,8.0,0,0.254,39.37007874015748,2,-0.6271919411880494,-0.13525488747490577
Uso Geral,m5.large,South America (Sao Paulo),RHEL,Shared,2,8.0,0,0.182,54.94505494505495,2,-0.6070691496874728,-0.06868965395454632
Uso Geral,m5.large,South America (Sao Paulo),RHEL,Dedicated,2,8.0,0,0.197,50.76142131979695,2,-0.6029102394372164,-0.12236723195140872
Uso Geral,m5.large,South America (Sao Paulo),SUSE,Shared,2,8.0,0,0.209,47.84688995215311,2,-0.6071993638237368,-0.031176781191739743
Uso Geral,m5.large,South America (Sao Paulo),SUSE,Dedicated,2,8.0,0,0.218,45.87155963302752,2,-0.6030205559936633,-0.07971853095231063
Uso Geral,m5.large,Asia Pacific (Tokyo),Linux,Shared,2,8.0,0,0.124,80.64516129032258,2,-0.6232942181233602,0.03715416276713815
Uso Geral,m5.large,Asia Pacific (Tokyo),Linux,Dedicated,2,8.0,0,0.132,75.75757575757575,2,-0.6198615631409414,-0.017790156294545688
Uso Geral,m5.large,Asia Pacific (Tokyo),Windows,Shared,2,8.0,0,0.216,46.2962962962963,2,-0.6429136376898846,-0.04999788875521675
Uso Geral,m5.large,Asia Pacific (Tokyo),Windows,Dedicated,2,8.0,0,0.224,44.64285714285714,2,-0.6387420598796818,-0.09778580694343766
Uso Geral,m5.large,Asia Pacific (Tokyo),RHEL,Shared,2,8.0,0,0.153,65.359477124183,2,-0.6173637551290891,-0.019884894612686752
Uso Geral,m5.large,Asia Pacific (Tokyo),RHEL,Dedicated,2,8.0,0,0.165,60.6060606060606,2,-0.6135773489228833,-0.07469857965855356
Uso Geral,m5.large,Asia Pacific (Tokyo),SUSE,Shared,2,8.0,0,0.18,55.55555555555556,2,-0.6181121680311922,0.011640778917027042
Uso Geral,m5.large,Asia Pacific (Tokyo),SUSE,Dedicated,2,8.0,0,0.188,53.191489361702125,2,-0.6141029510051402,-0.037719588806955355
Uso Geral,m5.xlarge,US East (N. Virginia),Linux,Shared,4,16.0,0,0.192,104.16666666666667,2,-0.5477689145727395,0.14285193671099244
Uso Geral,m5.xlarge,US East (N. Virginia),Linux,Dedicated,4,16.0,0,0.204,98.03921568627452,2,-0.5442964414144714,0.08499783843928385
Uso Geral,m5.xlarge,US East (N. Virginia),Windows,Shared,4,16.0,0,0.192,104.16666666666667,2,-0.5669716929669629,0.1355295542332204
Uso Geral,m5.xlarge,US East (N. Virginia),Windows,Dedicated,4,16.0,0,0.388,51.54639175257732,2,-0.5592592277717342,-0.03284967778265208
Uso Geral,m5.xlarge,US East (N. Virginia),RHEL,Shared,4,16.0,0,0.25,80.0,2,-0.5415250848675593,0.06495605143498201
Uso Geral,m5.xlarge,US East (N. Virginia),RHEL,Dedicated,4,16.0,0,0.269,74.34944237918215,2,-0.5373782337298074,0.007866267374128377
Uso Geral,m5.xlarge,US East (N. Virginia),SUSE,Shared,4,16.0,0,0.248,80.64516129032258,2,-0.5422285921529771,0.12080838800702509
Uso Geral,m5.xlarge,US East (N. Virginia),SUSE,Dedicated,4,16.0,0,0.26,76.92307692307692,2,-0.5382065519401641,0.06827679704093978
Uso Geral,m5.xlarge,US West (Oregon),Linux,Shared,4,16.0,0,0.192,104.16666666666667,2,-0.5480380406043825,0.08653113623042669
Uso Geral,m5.xlarge,US West (Oregon),Linux,Dedicated,4,16.0,0,0.204,98.03921568627452,2,-0.5445655674461145,0.028677037958718093
Uso Geral,m5.xlarge,US West (Oregon),Windows,Shared,4,16.0,0,0.192,104.16666666666667,2,-0.567240818998606,0.07920875375265463
Uso Geral,m5.xlarge,US West (Oregon),Windows,Dedicated,4,16.0,0,0.204,98.03921568627452,2,-0.563768345840338,0.021354655480946047
Uso Geral,m5.xlarge,US West (Oregon),RHEL,Shared,4,16.0,0,0.25,80.0,2,-0.5417942108992024,0.008635250954416251
Uso Geral,m5.xlarge,US West (Oregon),RHEL,Dedicated,4,16.0,0,0.269,74.34944237918215,2,-0.5376473597614506,-0.04845453310643739
Uso Geral,m5.xlarge,US West (Oregon),SUSE,Shared,4,16.0,0,0.248,80.64516129032258,2,-0.5424977181846203,0.06448758752645933
Uso Geral,m5.xlarge,US West (Oregon),SUSE,Dedicated,4,16.0,0,0.26,76.92307692307692,2,-0.5384756779718073,0.011955996560374021
Uso Geral,m5.xlarge,South America (Sao Paulo),Linux,Shared,4,16.0,0,0.306,65.359477124183,2,-0.5322020836373403,-0.025423811927780413
Uso Geral,m5.xlarge,South America (Sao Paulo),Linux,Dedicated,4,16.0,0,0.323,61.919504643962846,2,-0.5277117166697836,-0.07753896886721973
Uso Geral,m5.xlarge,South America (Sao Paulo),Windows,Shared,4,16.0,0,0.306,65.359477124183,2,-0.5514048620315638,-0.03274619440555245
Uso Geral,m5.xlarge,South America (Sao Paulo),Windows,Dedicated,4,16.0,0,0.323,61.919504643962846,2,-0.546914495064007,-0.08486135134499179
Uso Geral,m5.xlarge,South America (Sao Paulo),RHEL,Shared,4,16.0,0,0.364,54.94505494505495,2,-0.5228162046266227,-0.07288923335949044
Uso Geral,m5.xlarge,South America (Sao Paulo),RHEL,Dedicated,4,16.0,0,0.394,50.76142131979695,2,-0.5174456809751626,-0.12719024988671074
Uso Geral,m5.xlarge,South America (Sao Paulo),SUSE,Shared,4,16.0,0,0.362,55.248618784530386,2,-0.5235977585199365,-0.017792771138483557
Uso Geral,m5.xlarge,South America (Sao Paulo),SUSE,Dedicated,4,16.0,0,0.38,52.63157894736842,2,-0.5188385974760753,-0.06812853537901556
Uso Geral,m5.xlarge,Asia Pacific (Tokyo),Linux,Shared,4,16.0,0,0.248,80.64516129032258,2,-0.5437261782138313,0.03536521234624454
Uso Geral,m5.xlarge,Asia Pacific (Tokyo),Linux,Dedicated,4,16.0,0,0.264,75.75757575757575,2,-0.5396473294174373,-0.019911607264963507
Uso Geral,m5.xlarge,Asia Pacific (Tokyo),Windows,Shared,4,16.0,0,0.432,46.2962962962963,2,-0.5559143689196394,-0.055610595495638744
